femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,,incidentBeginDate,incidentEndDate,fipsCountyCode,placeCode,designatedArea,,,,,
FM-5351-WA,5351,WA,FM,2020-09-07T00:00:00.000Z,2020,Fire,COLD SPRINGS/PEARL HILL FIRE,,2020-09-07T00:00:00.000Z,2020-09-19T00:00:00.000Z,17,99017,Douglas (County),,,,,
FM-5351-WA,5351,WA,FM,2020-09-07T00:00:00.000Z,2020,Fire,COLD SPRINGS/PEARL HILL FIRE,,2020-09-07T00:00:00.000Z,2020-09-19T00:00:00.000Z,47,99047,Okanogan (County),,,,,
FM-5350-CA,5350,CA,FM,2020-09-06T00:00:00.000Z,2020,Fire,EL DORADO FIRE,,2020-09-05T00:00:00.000Z,2020-09-24T00:00:00.000Z,71,99071,San Bernardino (County),,,,,
FM-5349-CO,5349,CO,FM,2020-09-06T00:00:00.000Z,2020,Fire,CAMERON PEAK FIRE,,2020-09-06T00:00:00.000Z,2020-11-02T00:00:00.000Z,69,99069,Larimer (County),,,,,
FM-5348-CA,5348,CA,FM,2020-09-06T00:00:00.000Z,2020,Fire,CREEK FIRE,,2020-09-06T00:00:00.000Z,,19,99019,Fresno (County),,,,,
FM-5348-CA,5348,CA,FM,2020-09-06T00:00:00.000Z,2020,Fire,CREEK FIRE,,2020-09-06T00:00:00.000Z,,39,99039,Madera (County),,,,,
FM-5347-WY,5347,WY,FM,2020-09-05T00:00:00.000Z,2020,Fire,316 FIRE,,2020-09-05T00:00:00.000Z,2020-09-06T00:00:00.000Z,7,99007,Carbon (County),,,,,
FM-5346-MT,5346,MT,FM,2020-09-05T00:00:00.000Z,2020,Fire,BRIDGER FOOTHILLS FIRE,,2020-09-05T00:00:00.000Z,2020-09-14T00:00:00.000Z,31,99031,Gallatin (County),,,,,
FM-5345-MT,5345,MT,FM,2020-09-03T00:00:00.000Z,2020,Fire,SNIDER/RICE FIRE COMPLEX,,2020-09-03T00:00:00.000Z,2020-09-06T00:00:00.000Z,17,99017,Custer (County),,,,,
FM-5345-MT,5345,MT,FM,2020-09-03T00:00:00.000Z,2020,Fire,SNIDER/RICE FIRE COMPLEX,,2020-09-03T00:00:00.000Z,2020-09-06T00:00:00.000Z,75,99075,Powder River (County),,,,,
FM-5345-MT,5345,MT,FM,2020-09-03T00:00:00.000Z,2020,Fire,SNIDER/RICE FIRE COMPLEX,,2020-09-03T00:00:00.000Z,2020-09-06T00:00:00.000Z,87,99087,Rosebud (County),,,,,
FM-5344-MT,5344,MT,FM,2020-09-02T00:00:00.000Z,2020,Fire,BOBCAT FIRE,,2020-09-02T00:00:00.000Z,2020-09-06T00:00:00.000Z,65,99065,Musselshell (County),,,,,
FM-5344-MT,5344,MT,FM,2020-09-02T00:00:00.000Z,2020,Fire,BOBCAT FIRE,,2020-09-02T00:00:00.000Z,2020-09-06T00:00:00.000Z,111,99111,Yellowstone (County),,,,,
DR-4738-GA,4738,GA,DR,2023-09-07T00:00:00.000Z,2023,Hurricane,HURRICANE IDALIA,,2023-08-30T00:00:00.000Z,2023-08-30T00:00:00.000Z,19,99019,Berrien (County),,,,,
FM-5342-WA,5342,WA,FM,2020-09-01T00:00:00.000Z,2020,Fire,EVANS CANYON FIRE,,2020-09-01T00:00:00.000Z,2020-09-14T00:00:00.000Z,77,99077,Yakima (County),,,,,
FM-5341-OR,5341,OR,FM,2020-08-28T00:00:00.000Z,2020,Fire,WHITE RIVER FIRE,,2020-08-17T00:00:00.000Z,2020-09-10T00:00:00.000Z,65,99065,Wasco (County),,,,,
FM-5340-AZ,5340,AZ,FM,2020-08-26T00:00:00.000Z,2020,Fire,GRIFFIN FIRE,,2020-08-17T00:00:00.000Z,,0,62980,San Carlos Indian Reservation,,,,,
FM-5340-AZ,5340,AZ,FM,2020-08-26T00:00:00.000Z,2020,Fire,GRIFFIN FIRE,,2020-08-17T00:00:00.000Z,,7,99007,Gila (County),,,,,
FM-5339-CA,5339,CA,FM,2020-08-22T00:00:00.000Z,2020,Fire,SHEEP FIRE,,2020-08-17T00:00:00.000Z,,35,99035,Lassen (County),,,,,
FM-5338-CA,5338,CA,FM,2020-08-21T00:00:00.000Z,2020,Fire,SCU LIGTNING COMPLEX FIRE,,2020-08-20T00:00:00.000Z,,85,99085,Santa Clara (County),,,,,
FM-5338-CA,5338,CA,FM,2020-08-21T00:00:00.000Z,2020,Fire,SCU LIGTNING COMPLEX FIRE,,2020-08-20T00:00:00.000Z,,99,99099,Stanislaus (County),,,,,
FM-5337-WA,5337,WA,FM,2020-08-20T00:00:00.000Z,2020,Fire,PALMER FIRE,,2020-08-18T00:00:00.000Z,2020-09-03T00:00:00.000Z,47,99047,Okanogan (County),,,,,
FM-5336-CA,5336,CA,FM,2020-08-20T00:00:00.000Z,2020,Fire,CZU LIGHTNING FIRE COMPLEX,,2020-08-20T00:00:00.000Z,,81,99081,San Mateo (County),,,,,
FM-5336-CA,5336,CA,FM,2020-08-20T00:00:00.000Z,2020,Fire,CZU LIGHTNING FIRE COMPLEX,,2020-08-20T00:00:00.000Z,,87,99087,Santa Cruz (County),,,,,
